id,item,building_one_area,building_two_area,building_three_area
427,011112,PHOSPHATE,NULL,NULL
780,011140,RAW,NULL,NULL
428,011142,PHOSPHATE,NULL,NULL
781,011150,RAW,NULL,NULL
429,011152,PHOSPHATE,NULL,NULL
782,011160,RAW,NULL,NULL
430,011162,PHOSPHATE,NULL,NULL
783,011180,RAW,NULL,NULL
431,011182,PHOSPHATE,NULL,NULL
180,011191,CMET,CMET,NULL
784,011200,RAW,NULL,NULL
432,011202,PHOSPHATE,NULL,NULL
785,011210,RAW,NULL,NULL
181,011211,CMET,CMET,NULL
433,011212,PHOSPHATE,NULL,NULL
786,011220,RAW,NULL,NULL
182,011221,CMET,CMET,NULL
434,011222,PHOSPHATE,NULL,NULL
787,011230,RAW,NULL,NULL
183,011231,CMET,CMET,NULL
435,011232,PHOSPHATE,NULL,NULL
788,011250,RAW,NULL,NULL
436,011252,PHOSPHATE,NULL,NULL
789,011260,RAW,NULL,NULL
437,011262,PHOSPHATE,NULL,NULL
790,011270,RAW,WHSE,NULL
438,011272,PHOSPHATE,NULL,NULL
791,011290,RAW,NULL,NULL
439,011292,PHOSPHATE,NULL,NULL
792,011300,RAW,NULL,NULL
440,011302,PHOSPHATE,NULL,NULL
793,011310,RAW,NULL,NULL
441,011312,PHOSPHATE,NULL,NULL
795,011330,RAW,NULL,NULL
443,011332,PHOSPHATE,NULL,NULL
798,011350,RAW,NULL,NULL
2625,011351,CMET,NULL,NULL
446,011352,PHOSPHATE,NULL,NULL
794,011360,RAW,NULL,NULL
360,011361,EXPANSION,CMET,NULL
442,011362,PHOSPHATE,NULL,NULL
796,011370,RAW,NULL,NULL
184,011371,CMET,CMET,NULL
444,011372,PHOSPHATE,NULL,NULL
185,011391,CMET,CMET,NULL
797,011410,RAW,NULL,DEF
186,011411,CMET,CMET,NULL
445,011412,RAW,NULL,NULL
187,011421,CMET,CMET,NULL
188,011431,CMET,CMET,NULL
799,011440,RAW,NULL,DEF
189,011441,CMET,CMET,NULL
447,011442,PHOSPHATE,NULL,NULL
2942,011450,RAW,NULL,DEF
190,011451,CMET,CMET,NULL
3101,011460,TUBE,NULL,NULL
191,011461,CMET,CMET,NULL
3100,011467,ALUMINUM,NULL,NULL
3858,011471,CMET,NULL,NULL
3859,011471,CMET,NULL,NULL
4025,011472,ALUMINUM,NULL,NULL
3102,011510,TUBE,NULL,NULL
192,011511,CMET,CMET,NULL
3103,011517,ALUMINUM,NULL,NULL
3861,011531,CMET,NULL,NULL
800,011630,RAW,NULL,NULL
193,011631,CMET,CMET,NULL
448,011632,PHOSPHATE,NULL,NULL
801,011640,RAW,NULL,NULL
194,011641,CMET,CMET,NULL
449,011642,PHOSPHATE,NULL,NULL
804,011680,TUBE,NULL,NULL
2980,011681,CMET,CMET,NULL
452,011682,PHOSPHATE,NULL,NULL
3104,011687,ALUMINUM,NULL,NULL
805,011720,RAW,NULL,NULL
453,011722,PHOSPHATE,NULL,NULL
806,011740,RAW,WHSE,NULL
454,011742,PHOSPHATE,NULL,NULL
807,011750,RAW,NULL,NULL
455,011752,PHOSPHATE,NULL,NULL
808,011800,RAW,NULL,NULL
195,011801,CMET,CMET,NULL
456,011802,PHOSPHATE,NULL,NULL
809,011810,RAW,NULL,NULL
457,011812,PHOSPHATE,NULL,NULL
810,011850,RAW,NULL,NULL
458,011852,PHOSPHATE,NULL,NULL
811,011860,RAW,NULL,DEF
459,011862,PHOSPHATE,NULL,NULL
812,011880,RAW,NULL,NULL
196,011881,CMET,CMET,NULL
460,011882,PHOSPHATE,NULL,NULL
813,011890,RAW,NULL,NULL
197,011891,CMET,CMET,NULL
461,011892,PHOSPHATE,NULL,NULL
814,011900,RAW,NULL,NULL
198,011901,CMET,CMET,NULL
462,011902,PHOSPHATE,NULL,NULL
815,011910,RAW,NULL,NULL
463,011912,PHOSPHATE,NULL,NULL
816,011920,RAW,NULL,NULL
199,011921,CMET,CMET,NULL
464,011922,PHOSPHATE,NULL,NULL
817,011930,RAW,NULL,NULL
465,011932,PHOSPHATE,NULL,NULL
200,011941,CMET,CMET,NULL
818,011950,RAW,NULL,NULL
466,011952,PHOSPHATE,NULL,NULL
819,011960,RAW,NULL,NULL
467,011962,PHOSPHATE,NULL,NULL
820,011980,RAW,NULL,NULL
468,011982,PHOSPHATE,NULL,NULL
821,011990,RAW,NULL,NULL
201,011991,CMET,CMET,NULL
469,011992,PHOSPHATE,NULL,NULL
822,012000,RAW,NULL,NULL
202,012001,CMET,CMET,NULL
470,012002,PHOSPHATE,NULL,NULL
823,012010,RAW,NULL,NULL
471,012012,PHOSPHATE,NULL,NULL
824,012020,RAW,NULL,NULL
472,012022,PHOSPHATE,NULL,NULL
825,012030,RAW,NULL,NULL
364,012031,EXPANSION,CMET,NULL
473,012032,PHOSPHATE,NULL,NULL
826,012040,RAW,NULL,NULL
365,012041,CMET,CMET,NULL
474,012042,PHOSPHATE,NULL,NULL
827,012050,RAW,NULL,NULL
475,012052,PHOSPHATE,NULL,NULL
828,012060,RAW,WHSE,NULL
203,012061,CMET,CMET,NULL
476,012062,PHOSPHATE,NULL,NULL
829,012070,RAW,NULL,NULL
204,012071,CMET,CMET,NULL
477,012072,PHOSPHATE,NULL,NULL
830,012080,RAW,NULL,NULL
205,012081,CMET,CMET,NULL
478,012082,PHOSPHATE,NULL,NULL
831,012100,RAW,NULL,NULL
479,012102,PHOSPHATE,NULL,NULL
206,012131,CMET,CMET,NULL
832,012140,RAW,NULL,NULL
207,012141,CMET,CMET,NULL
480,012142,PHOSPHATE,NULL,NULL
2558,012210,RAW,NULL,NULL
3151,012212,PHOSPHATE,NULL,NULL
